id;id_catedra;titulo;resumen;descripcion;fecha_hora;direccion;imagen_url;precio
1;5759;dual saturate wolf;midwife;anenst what;2025-11-27T10:17:20;ugh and;vice oblong chap;20110.59
2;22606;divert;musty;shadowbox cutover surprise;2025-11-27T11:48:56;connect stitcher;next;28764.74
3;7790;whistle ack unethically;howl lifestyle ack;backbone;2025-11-27T16:09:40;fashion;once however because;29158.01
4;25462;split;an;versus roger oof;2025-11-26T21:04:35;deafening scarcely;yet affectionate;23929.44
5;8024;vamoose metallic;memorise ha amid;including;2025-11-26T21:10:41;ravel tempting;representation wrongly gadzooks;25692.91
6;20326;culminate;redesign finally potentially;whereas cop-out why;2025-11-27T09:28:22;drain chunder;ick;16570.56
7;28139;tough ski intently;whenever lecture;bah yippee;2025-11-26T23:30:02;slap;eternity of;24593.86
8;27383;abaft speedily abscond;sermon jiggle;scaffold weighty fast;2025-11-27T09:54:46;than;for regarding criminal;11458.52
9;1635;floss qua uh-huh;beyond pile phew;meanwhile;2025-11-27T06:09:58;because if;at save pleasure;2891.69
10;12474;fisherman;effector unused;apropos banish;2025-11-27T12:43:37;youthfully orientate;from;7858.85
