id;fecha;total;id_venta_catedra;estado
1;2025-11-27T15:30:09;8773.89;10542;concerning
2;2025-11-27T15:42:41;20252.51;32139;spirit carelessly
3;2025-11-27T16:11:29;6031.04;4403;vivacious
4;2025-11-27T12:09:03;7893.68;10325;overburden yum
5;2025-11-26T23:37:17;6077.34;31087;perfumed upright boohoo
6;2025-11-27T16:46:39;22775.59;17101;freckle or which
7;2025-11-26T22:30:18;28559.54;4718;dusk
8;2025-11-27T02:39:26;23899.54;27372;till among yum
9;2025-11-27T18:40:30;27630.01;7918;mozzarella swim
10;2025-11-26T22:18:23;21140.47;28629;proselytise up but
